Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1955,1.450239,-3.4167697,-23.7823,-11.08772,10.222688,4.677054,0.6685753,-13.579085,-13.131761,-17.297482,-24.389359,-3.8361628
1956,-9.434091,-13.155697,5.4159822,10.05593,11.85819,0.46843562,-12.092908,-3.1338198,3.2479835,0.72623384,-6.402439,10.916061
1957,-11.714146,-5.5350523,-6.91269,-2.508335,1.3164233,5.8750267,4.193745,8.822686,8.155706,4.023763,11.485697,15.577914
1958,12.26952,-18.686705,4.0728655,-3.0065827,-9.514972,1.7953568,9.386743,14.233165,10.887989,7.0563784,1.3128654,-15.142064
1959,7.4411516,6.0479155,1.1300399,1.2871392,1.3398434,15.916829,6.847991,10.380941,8.113856,-0.6039825,-2.8285415,-18.492891
1960,5.4832845,2.443831,-1.5394247,5.727038,-8.038727,-2.3439348,-8.529415,-15.807827,3.5889862,-9.06864,5.8211875,-10.509208
1961,-11.743335,8.65683,9.531307,-4.3430586,-9.630901,8.061142,-2.885468,-2.2769701,-10.893932,-9.182423,2.663094,-7.687662
1962,-14.786743,-0.76307553,7.281334,11.658016,-2.281681,-8.317622,2.7443047,4.4160304,5.7807016,3.544312,2.1994097,15.866719
1963,-2.8916507,1.0934813,1.3248796,-3.6451457,-2.6251757,3.8039944,4.3633103,8.048853,4.12684,5.482962,-0.3054938,-19.118055
1964,-0.604646,1.2272646,6.4319706,-6.112204,-6.1822953,6.2119565,-3.7721415,-5.1757736,6.738221,5.8538423,-9.589765,-7.9671874
1965,-4.851464,10.825733,-1.5891993,2.0088654,-0.36748022,2.3698475,-2.4434438,4.5600386,-7.0471916,0.8960394,-3.9202156,-6.579612
1966,-1.5548079,-8.402355,10.548892,11.793569,15.083915,7.6705995,-2.2717788,1.9098612,8.165007,-0.20270273,-6.6771216,10.513978
1967,-1.4466708,-0.057444833,-6.1234827,17.597786,-6.485585,-3.5488403,-10.805158,-14.11827,-2.9043987,-12.960707,9.825505,-7.8937297
1968,1.019636,-20.557169,0.89713717,8.972608,-14.600642,8.133243,7.445931,7.5499063,-2.9090488,1.4549648,-8.400818,3.7597423
1969,9.648652,7.338744,12.983325,7.171223,8.235495,6.7707334,-6.068883,5.3173532,8.96985,16.65539,12.506307,7.995928
1970,4.4830847,4.8088202,4.049975,-1.5180681,-0.1508445,0.67225736,2.0271964,4.7256484,1.9238864,-2.4935584,8.69099,5.10943
1971,0.8100333,-8.440738,-11.833193,-6.2953835,2.6287284,-8.227959,-12.154855,-3.9364548,-25.14706,-4.0591574,-5.9256506,6.882078
1972,-8.767199,-8.759203,-2.3752127,-12.332605,-15.540177,-22.44187,-7.621218,-13.295728,5.0428967,-6.454676,-17.488525,10.983334
1973,-26.285702,6.101874,5.076876,-0.5974091,2.8051596,-1.1270126,8.40925,6.1348124,10.364472,-0.6895367,3.08041,-7.261221
1974,6.195489,17.973269,9.795618,-1.90421,3.6927805,4.594786,14.011724,-2.2062366,-7.907448,7.1996927,5.770283,4.4316864
1975,-5.049947,3.582241,3.6589642,-0.36293966,-17.717464,2.2492185,16.049656,-1.1816595,7.8274918,4.0215917,-7.4422007,-8.752797
1976,-15.351615,-0.07496739,-4.7446985,11.371524,14.957837,1.9575822,0.6879991,5.241537,2.3280518,-5.7524366,-2.7998133,5.0634217
1977,3.9284995,-8.55672,-14.053354,10.747981,29.132448,3.662105,10.296515,-3.742467,-4.9248385,-15.93035,12.318313,-1.2230046
