Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1923,3.3761196,0.57792765,-10.363314,-0.64511925,-6.8322096,-4.978869,-12.880785,7.4081016,-4.862562,-15.8224325,-7.8064275,-14.620737
1924,-14.353493,-26.426613,-13.495648,-10.124198,-7.0159826,11.767201,20.030966,26.80531,2.6473713,1.1133012,6.828412,-4.4677033
1925,11.366144,-1.742972,5.3192577,5.912283,4.1681924,5.869175,16.024109,-11.403123,5.7688804,3.5046566,1.3013507,-1.5263145
1926,7.149843,2.0988855,-7.825347,-7.194726,-16.439903,-13.664648,-15.392561,1.0735478,0.72279197,-9.466648,-12.960383,-6.8594513
1927,-13.527406,-4.1674614,-4.348232,-6.2168064,-3.2909164,-9.54489,1.0814968,-4.5816107,-9.987264,-5.315298,-16.729538,-13.864216
1928,-13.804593,-19.994467,0.25522393,-10.479663,-1.051625,2.0064776,8.5077305,-9.422108,-13.732403,-9.521259,-22.025032,-14.853569
1929,-13.066963,-12.420645,1.40217,0.4762339,10.273806,-5.2407193,-3.7802048,-6.552928,12.307177,-11.98099,3.359918,3.1944683
1930,19.13488,15.672683,14.980653,12.681328,-5.6374483,1.057668,21.872286,6.739426,4.5072384,1.2132,6.965761,2.2422383
1931,0.9920786,13.876581,0.8495927,-4.3209906,-1.7333333,6.1346183,2.5919433,1.5385581,5.1064224,-1.0738168,-1.3443019,5.0949636
1932,-14.2529335,7.6609335,-14.202912,-15.831913,-2.3814998,0.5223909,-9.895745,6.493394,5.8033934,-3.2742546,0.23814845,5.9030256
1933,-9.00107,-8.261715,0.3234254,3.7331083,7.8738894,1.5402557,3.8719041,4.5751624,-3.1790946,4.154665,15.66191,8.195297
1934,9.162189,10.340834,8.442596,-3.0320385,-3.712319,-15.831303,-11.060464,-11.565443,-2.9240818,-15.181304,-14.083885,-18.127264
1935,-13.4242525,-11.230735,-11.317264,-5.163272,5.866558,3.310143,1.8523418,17.51174,18.865128,5.5914316,9.86015,7.958862
1936,17.821842,18.097172,22.02079,25.84836,16.257534,19.994743,2.1248264,15.854854,15.4191,12.306852,6.35732,17.982866
1937,10.764227,-1.7089902,2.6890016,8.96531,14.714121,14.942941,-1.5409126,16.93188,-1.3043675,2.4998965,0.51703495,-0.99865943
1938,0.06571987,12.321916,2.93859,-1.6791651,-1.1772898,3.0159602,-2.4485123,1.0419006,-8.430823,-0.550791,-5.7306914,-5.3867745
1939,-9.570716,-0.13486727,7.2239656,-2.5530176,-6.6484365,2.598835,6.3263154,8.798538,6.8344693,7.2919316,6.9527802,-0.5520989
1940,14.213509,4.94157,3.2122667,5.161986,-21.461304,-21.663868,-17.133493,-6.562626,-18.03742,-10.739581,-8.629269,-9.608735
1941,-15.943718,-21.400326,-17.451044,-7.8694086,0.2111654,-3.1275523,-5.501161,-2.6424513,-10.183796,-3.087777,-11.22844,-4.4860845
1942,-10.989788,3.3674467,1.7173479,-7.4741874,8.865508,3.0810237,8.597363,-2.888483,13.185822,14.589429,21.862318,9.383243
1943,6.341332,11.438116,7.00427,10.637791,3.6650603,2.1657436,-0.9483096,6.2167354,2.8635569,6.4874134,-2.0519867,-1.4524283
1944,-10.255328,-15.998595,-28.488367,-8.711301,5.837268,0.30564556,6.635678,0.3466821,-5.270007,-0.8189638,-4.7575207,3.005608
1945,-10.184446,6.2128716,2.5076146,1.7297174,7.7383037,13.733079,-2.983238,3.869735,4.164026,7.8740087,5.310448,9.545793
1946,6.6484857,9.330699,7.4352455,14.685108,1.9336247,-12.410081,3.0693038,-6.8505135,-10.664581,-10.507816,-24.019114,-24.991827
1947,-8.065779,-9.762942,-15.572746,-9.653362,-6.9630713,-1.1612772,4.7267485,14.323535,5.209482,-3.3515096,9.096772,19.411213
1948,21.87016,8.466082,6.677483,20.604074,5.8325434,21.335531,2.4188232,-11.925813,-8.603388,-0.7053012,3.7585666,-0.35639074
1949,-4.7614303,4.018307,0.2790219,-1.5275466,-7.751548,-2.486098,-12.256427,-8.199095,-3.3852139,-16.40007,-2.2487986,-6.128519
1950,1.5320463,0.09834629,-4.291639,-13.496832,8.038765,6.171341,-1.7140326,16.602648,8.242791,11.088086,6.7601557,3.8252037
1951,6.229247,5.1268253,8.995173,19.662014,10.481672,-2.5675273,7.941761,2.2547047,1.9010276,16.098566,0.21218605,-6.202405
1952,5.69533,8.915244,-3.204188,-4.4648137,-7.1468444,3.7963233,-5.0022883,-13.954299,-15.980541,-10.639683,-10.60618,-20.943228
1953,-15.421615,-21.608053,-7.52497,-19.271976,-1.4626342,12.371933,3.8401484,7.1156197,3.3146226,10.551741,4.440289,-1.8950243
1954,5.3265157,9.833026,12.178297,5.99998,-4.7861395,2.9257495,-9.523384,0.81730723,0.124087274,5.24112,15.194168,20.315506
1955,16.010328,6.3531833,17.031342,18.173502,9.80894,-3.5203285,8.31361,-8.606425,-1.4903543,6.9056563,-10.481812,-6.30945
1956,4.2436986,1.1898735,5.83933,-2.226005,-12.840504,-7.8077345,-6.1618853,-6.1348777,13.421181,1.0040784,6.1211457,-2.4933217
1957,3.2257125,-4.7761183,-18.708275,-19.719036,-6.977244,-6.2011046,-7.042851,-14.136526,-10.355402,-24.283197,-16.172184,-16.83552
1958,-8.989256,-8.716358,-4.083552,-7.218891,5.7555385,-9.765628,20.508326,11.725909,5.8230467,25.145845,16.373363,13.856777
1959,5.1199217,11.323291,19.082031,6.622824,7.8063326,-3.7897632,-4.8245587,-4.2947435,-4.038085,-3.4740522,1.0915577,-7.6231813
1960,-5.98601,-7.4338207,-12.2683115,-8.13289,-16.057713,-18.986683,-1.1265515,-5.7010045,-12.697013,-6.9429827,-19.058199,-6.416495
1961,3.6002898,-0.5248354,-6.5771146,-17.5079,-10.596015,-0.9205821,9.1059675,6.049822,1.2879424,4.750506,-8.844087,3.0539045
1962,-2.2474396,-11.920784,-5.1683908,1.3660668,12.397352,18.66633,12.509977,15.509796,28.53452,19.699364,10.147412,6.043229
1963,18.429522,12.310954,14.302991,-0.07060604,14.530348,-2.5020647,5.7178345,0.028167883,-2.9140155,2.718342,-10.211719,8.940646
1964,-10.051616,-8.766783,-14.185209,0.09738257,-9.164097,-3.9490292,0.630258,-6.453392,-6.669222,1.6087992,10.383167,5.8550897
1965,4.7689714,-8.528089,1.9939268,11.974684,6.8435316,12.559938,4.647871,4.0269504,-5.559533,-6.2747703,1.8545175,5.371766
1966,12.094841,15.633493,17.420525,8.374817,2.2964466,-3.9693863,-6.2981277,-14.5760145,-7.0713944,-12.740221,0.19501737,2.7623246
1967,2.5883546,4.815234,5.0815682,-2.4649308,4.768644,-6.9044294,-8.028815,-1.8900635,-4.5634494,7.7057347,-1.8802999,0.97211784
1968,-9.505597,-0.5218209,-0.7167199,-9.309979,-6.6970963,-2.448976,-14.354353,4.7109394,0.66431165,-8.347782,-0.3924867,-1.2087843
1969,-14.805002,2.3290846,-4.2707434,4.427669,2.1273189,-6.458964,-18.85394,12.008182,15.443546,5.573228,4.4319143,-1.009472
1970,0.056787644,1.6387615,-0.5057306,-2.4493403,11.93296,11.599553,15.609749,6.32648,0.07040038,-4.0334854,1.9273797,7.8813715
1971,4.656598,9.976078,7.9135265,3.46534,-4.810233,-8.841965,-21.078377,-24.4913,-2.6196964,-8.507175,-12.364505,-13.303402
1972,-7.8856936,-8.051248,-14.615894,-13.991834,-7.7128086,-9.352893,1.5429795,-4.7337217,-7.5670395,-16.595427,-5.053157,-22.127567
1973,-14.931783,-27.908382,-12.761394,-8.926841,20.35487,25.978592,27.006472,16.085062,6.8929496,-2.055933,25.914547,20.706562
1974,8.244473,3.9903545,-4.5563188,-4.0458164,-1.6416831,1.8999013,-0.3557065,4.3975296,10.652949,2.7321057,5.447798,-9.395007
1975,-9.004239,-9.274591,1.366473,-0.21403946,7.6901164,4.1847086,11.345772,6.3320947,6.4217515,-3.065133,-1.3443019,6.349586
1976,6.394637,11.123785,11.973112,12.314169,-13.692286,-15.676028,-0.09346555,-6.8658266,-9.398146,-19.71005,-12.008569,3.146172
1977,-3.4927654,-0.3732877,-4.1282454,-10.33584,-12.448864,3.052683,8.523608,-9.328187,-9.623919,2.4861329,-6.4769015,-9.180917
1978,-12.5154705,4.902381,-0.7434201,2.2804549,12.339245,4.1890993,14.513151,13.058666,15.026515,14.229794,13.509125,6.7114477
1979,8.038168,3.3899186,6.032326,15.0721445,0.93680924,13.107592,2.2457032,-7.9484687,-10.090323,-8.579991,-1.1428839,3.112653
1980,-12.471097,-6.9934287,-1.9231609,3.9845066,-5.003927,-6.6429777,-0.743946,1.5594862,8.709196,8.555541,8.457762,0.26713607
1981,12.410639,5.497336,9.771219,18.512207,-11.011748,-14.257803,6.719677,-10.268927,-7.464459,-12.616791,-8.586556,-5.062036
1982,-5.1921945,-9.476837,-7.8964505,-10.212285,-8.476719,1.8587874,7.6897635,1.178188,17.382507,5.9737115,8.389506,3.4932566
1983,16.134226,14.143229,8.1840105,1.3461888,-0.82438886,-8.147023,-9.953623,-6.5631366,-23.981327,-16.168304,-20.061102,-9.357883
